CountryName,code,CoverageType,ppp_2005_v1_v1,ppp_2011_v1_v1,ppp_2011_v1_v2,ppp_2011_v2_v1,ppp_2011_v2_v2,ppp_2017_v1_v1,ppp_2017_v1_v2,ppp_2021_v1_v1,ppp_2021_v1_v2,source_ppp_2011,source_ppp_2005,datalevel,ppp_domain,ppp_domain_value,oldicp2005,oldicp2011,Seriesname,note_may192020,note_2017_v1_v2,source_2017_v2_v1,method_2017_v2_v1,ref_2017_v2_v1,link_2017_v2_v1,source_2021_v1_v1,method_2021_v1_v1,ref_2021_v1_v1,link_2021_v1_v1,note_2021_v1_v1
Aruba,ABW,National,,1.65275096893310547,1.65275127699999991,1.63776314258574995,1.63776314258574995,1.48048067092895996,1.48048067092895996,1.51344382762909002,1.51344382762909002,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Afghanistan,AFG,National,,17.7178802490234375,17.717880000000001,16.7883129958098003,16.7883129958098003,17.3601853467702014,17.3601853467702014,15.9897813796996999,15.9897813796996999,1,,2,1,1,,17.7179,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Angola,AGO,National,70.5047760009765625,73.8331222534179688,73.833118749999997,80.9318008422851989,80.9318008422851989,107.269989013672003,107.269989013672003,203.688735961914006,203.688735961914006,1,1,2,1,1,,73.8331,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Anguilla,AIA,National,,2.59111809730529785,2.59111827499999992,2.50184416770935014,2.50184416770935014,2.59459590911865012,2.59459590911865012,2.43838310241698997,2.43838310241698997,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Albania,ALB,National,60.4100723266601563,58.1680107116699219,58.1680102099999985,54.6525840759276989,54.6525840759276989,50.3573722839354971,50.3573722839354971,50.7723045349121023,50.7723045349121023,1,1,2,1,1,60.41,58.168,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
,AND,National,,,,,,,,.639068841934203991,.639068841934203991,,,2,,,,,,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
United Arab Emirates,ARE,National,,2.7182159423828125,2.71821566900000011,2.39665317535399991,2.39665317535399991,2.8348438739776598,2.8348438739776598,2.72760176658630016,2.72760176658630016,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Argentina,ARG,National,1.35259819030761719,2.76837992668151856,2.7683819999999999,3.16116356849670011,3.16116356849670011,10.8079395294188991,10.8079395294188991,42.9862403869628977,42.9862403869628977,1,1,2,1,1,1.353,2.76838,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
Armenia,ARM,National,196.188629150390625,183.77960205078125,183.779594800000012,165.629043579101989,165.629043579101989,167.312210083008012,167.312210083008012,164.226486206055,164.226486206055,1,1,2,1,1,196.2,183.78,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,ICP,,World Bank (forthcoming),https://databank.worldbank.org/source/icp-2021,"ClassificationName: Purchasing power parity (PPP) (US$ = 1), SeriesCode: 9100000"
American Samoa,ASM,National,,,.921169325000000039,.921169325022250018,.921169325022250018,,,,,1,,2,1,1,,,9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE,,,,,,,,,,,
